Nome Completo;Email;Mês/Ano;Cargo;CBO;PIS;Salário Base;Comissão;Valores Adicionais;Bonificações;Total Vencimentos;INSS (%);INSS (R$);IRRF (%);IRRF (R$);Plano de Saúde;Total Descontos;Líquido a Receber;Carga Horária;Horas Extras;Base FGTS;FGTS do Mês;Base INSS;Base IRRF
Ana Silva;ana.silva@email.com;Jan-2020;Analista de Sistemas;2124-05;85084931713;2641;332;231;476;3680;9.15;336.71999999999997;7.5;276.0;273;885.72;2794.2799999999997;44;0;3680;294.40000000000003;3680;3128.0
Ana Silva;ana.silva@email.com;Feb-2020;Analista de Sistemas;2124-05;94652145537;6817;810;316;672;8615;9.15;788.2725;7.5;646.125;354;1788.3975;6826.6025;44;5;8615;689.2;8615;7322.75
Ana Silva;ana.silva@email.com;Mar-2020;Analista de Sistemas;2124-05;77931700630;6189;878;746;823;8636;9.15;790.194;7.5;647.6999999999999;143;1580.8939999999998;7055.106;44;0;8636;690.88;8636;7340.599999999999
Ana Silva;ana.silva@email.com;Apr-2020;Analista de Sistemas;2124-05;87335968169;3358;475;535;113;4481;9.15;410.0115;7.5;336.075;451;1197.0865;3283.9135;44;17;4481;358.48;4481;3808.85
Ana Silva;ana.silva@email.com;May-2020;Analista de Sistemas;2124-05;92007507501;6447;347;457;610;7861;9.15;719.2814999999999;7.5;589.5749999999999;122;1430.8564999999999;6430.1435;44;3;7861;628.88;7861;6681.849999999999
Ana Silva;ana.silva@email.com;Jun-2020;Analista de Sistemas;2124-05;39757654502;2638;846;133;536;4153;9.15;379.9995;7.5;311.47499999999997;216;907.4745;3245.5254999999997;44;19;4153;332.24;4153;3530.0499999999997
Ana Silva;ana.silva@email.com;Jul-2020;Analista de Sistemas;2124-05;67800046417;3237;789;529;603;5158;9.15;471.957;7.5;386.84999999999997;221;1079.807;4078.193;44;6;5158;412.64;5158;4384.3
Ana Silva;ana.silva@email.com;Aug-2020;Analista de Sistemas;2124-05;56058439342;5530;783;422;212;6947;9.15;635.6505;7.5;521.025;122;1278.6754999999998;5668.324500000001;44;11;6947;555.76;6947;5904.95
Ana Silva;ana.silva@email.com;Sep-2020;Analista de Sistemas;2124-05;81087845092;5003;638;483;186;6310;9.15;577.365;7.5;473.25;490;1540.615;4769.385;44;14;6310;504.8;6310;5363.5
Ana Silva;ana.silva@email.com;Oct-2020;Analista de Sistemas;2124-05;56541982003;3864;664;566;328;5422;9.15;496.113;7.5;406.65;293;1195.763;4226.237;44;1;5422;433.76;5422;4608.7
Ana Silva;ana.silva@email.com;Nov-2020;Analista de Sistemas;2124-05;85405654124;3187;247;404;150;3988;9.15;364.902;7.5;299.09999999999997;378;1042.002;2945.998;44;7;3988;319.04;3988;3389.7999999999997
Ana Silva;ana.silva@email.com;Dec-2020;Analista de Sistemas;2124-05;31478966933;5400;832;491;256;6979;9.15;638.5785;7.5;523.425;130;1292.0034999999998;5686.9965;44;3;6979;558.32;6979;5932.15
